title,artist,num_artists,artists_followers,artists_popularity,num_sections,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,fade_in,fade_out,time_signature,explicit,popularity,genre,date,liked
What A Day,Lette,1,544,21,12,0.703,0.7,5,-8.785,1,0.0292,0.149,0.000167,0.127,0.345,115.986,316177,0.51678,308.07074,4,False,41,desconocido,2014-08-20,No
I Am Alive,Stevie McCrorie,1,28458,28,11,0.495,0.548,5,-4.501,1,0.0274,0.00889,0,0.112,0.238,74.047,217278,0.0,205.57787,4,False,0,scottish singer-songwriter,2017-12-22,No
La Rumba del Tartamudo,TéCanela,2,30105,39,8,0.746,0.829,4,-5.09,1,0.139,0.268,1.6e-05,0.0459,0.836,105.823,191730,0.14367,182.66557,4,False,0,flamenco fusion,2017-12-15,No
Die Like a Rockstar,Gio Bermejo,1,1227,16,9,0.464,0.731,6,-6.879,1,0.0818,0.00398,0,0.976,0.769,154.988,207677,0.19152,201.79301,4,False,24,desconocido,2020-04-03,No
"Sleep, for the Weak! - Lost Frequencies Remix",Lea Rue,1,12030,37,11,0.784,0.501,7,-8.589,1,0.0415,0.256,0.075,0.0987,0.634,120.989,200331,0.0,190.4849,4,False,27,belgian edm,2016-02-19,No
Me Vuelvo Loco,Abraham Mateo,2,5631188.5,69,9,0.696,0.859,1,-2.999,1,0.0408,0.159,0,0.0583,0.654,92.048,200980,0.48068,195.51202,4,False,51,latin arena pop,2019-08-02,No
Devil Girl,Rich Guala,1,56,1,8,0.764,0.55,9,-7.672,0,0.0401,0.158,1.88e-06,0.123,0.256,94.009,185027,0.0,174.16127,4,True,5,desconocido,2020-06-19,No
Good For Me (feat. GoldFord),Bakermat,2,205391,54.5,9,0.661,0.663,0,-5.584,1,0.0649,0.656,2.61e-05,0.128,0.568,107.145,208078,0.0,205.8449,4,False,36,minimal tech house,2020-10-09,No
I Wanna Do,Chemical Surf,2,125590,48.5,5,0.819,0.802,5,-7.214,0,0.121,0.00414,0.897,0.125,0.131,124.028,184355,0.4819,178.02739,4,False,58,brazilian edm,2019-01-07,No
Titans - Imanbek Remix,Major Lazer,5,7683082,77.6,10,0.648,0.884,7,-3.199,1,0.0387,0.13,0,0.332,0.65,111.002,168649,0.0,163.74712,4,False,35,dance pop,2021-05-21,No
The Wrong Direction,Passenger,1,3189409,70,11,0.689,0.666,5,-6.352,1,0.0372,0.364,0,0.0925,0.8,127.993,221373,0.45356,211.05197,4,False,0,folk-pop,2012-11-05,No
Run - Lost Frequencies Radio Edit,Emma Bale,2,1352806,58.5,8,0.71,0.61,3,-6.316,1,0.0271,0.0371,0.00178,0.133,0.457,125.018,195840,0.0,188.11066,4,False,53,belgian pop,2015-07-24,No
Marcamos las Normas (feat. Zannou),Terry,2,918,11,12,0.735,0.729,8,-8.479,1,0.204,0.209,0,0.0785,0.723,125.962,208533,0.0,204.77678,4,False,28,desconocido,2015-08-14,No
If I Ruled The World,Mike Perry,2,756043.5,55.5,9,0.655,0.643,4,-5.041,1,0.108,0.0205,0,0.115,0.29,124.812,171926,0.25533,164.81525,4,False,2,pop dance,2021-04-02,No
All the Debts I Owe,Caamp,1,473929,68,8,0.483,0.486,0,-11.062,1,0.0434,0.753,0.00479,0.134,0.466,92.048,193049,0.23025,186.38658,4,False,2,indie folk,2016-03-08,No
Mirage,Scaramouche,2,1411.5,17.5,10,0.724,0.833,7,-5.054,0,0.0352,0.00782,0.863,0.0946,0.691,120.047,175615,0.79528,169.27347,4,False,2,desconocido,2016-12-16,No
